1573103839,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106088
1573103843,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174921
1573103843,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205222
1573103843,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184763
1573103869,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100263
1573103869,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121888
1573103869,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106085
1573103873,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174926
1573103873,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205265
1573103873,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184755
1573103899,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100268
1573103899,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121890
1573103899,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106083
1573103903,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174928
1573103903,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205277
1573103903,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184740
1573103929,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100279
1573103929,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121873
1573103929,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106082
1573103932,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174919
1573103932,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205271
1573103932,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184736
1573103959,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100281
1573103959,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121905
1573103959,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106080
1573103989,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100282
1573103989,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121894
1573103989,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106059
1573104019,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100292
1573104019,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121873
1573104019,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106060
1573104022,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174924
1573104022,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205244
1573104022,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184722
1573104049,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100287
1573104049,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121862
1573104049,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106046
1573104052,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174927
1573104079,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100295
1573104079,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121876
1573104079,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106047
1573104083,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174914
1573104083,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205280
1573104083,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184717
1573104109,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100296
1573104109,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121890
1573104109,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106038
1573104112,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174927
1573104112,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205304
1573104112,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184775
1573104139,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100281
1573104139,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121904
1573104139,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106036
1573104143,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174929
1573104143,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205302
1573104143,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184819
1573104169,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100278
1573104169,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121903
1573104169,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106029
1573104173,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174926
1573104173,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205312
1573104173,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184833
1573104199,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100280
1573104199,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121885
1573104199,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106016
1573104202,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174934
1573104202,1,pessimistic,5559439,2 days 3 hours,183082,2 days 9 hours,205297
1573104202,1,best_guess,5559439,2 days 3 hours,183082,2 days 3 hours,184830
1573104229,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100274
1573104229,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,121957
1573104229,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106010
1573104232,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174976
1573104259,0,optimistic,3243960,1 day 5 hours,104610,1 day 4 hours,100278
1573104259,0,pessimistic,3243960,1 day 5 hours,104610,1 day 10 hours,122013
1573104259,0,best_guess,3243960,1 day 5 hours,104610,1 day 5 hours,106003
1573104263,1,optimistic,5559439,2 days 3 hours,183082,2 days 1 hour,174992
